"","A1","Z1","Y2","L1","A0","Z0","L0"
"173",1,1,247,-0.162485836395737,0,0,0
"174",0,0,22289,0.630854698390172,1,1,0
"175",1,1,8550,0.836862310742941,1,1,1
"176",0,1,700,-1.52409977806294,1,1,1
"177",0,0,16977,0.559681983316254,0,1,0
"178",0,1,19416,0.350831884717768,0,0,0
"179",1,1,35986,0.697734041972646,1,1,1
"180",1,1,7591,0.0247237191026457,1,1,0
"181",1,1,21561,0.212382210845837,0,0,1
"182",0,1,4968,0.648797858205049,1,1,0
"183",0,0,13367,0.538805966010795,1,1,0
"184",1,1,15471,0.919130652708957,1,1,0
"185",0,1,6489,0.102570790588686,0,0,1
"186",0,0,337,-1.52409977806294,1,0,0
"187",1,1,62715,-1.52409977806294,1,1,1
"188",1,1,0,-1.52409977806294,1,1,1
"189",1,1,56963,0.690619104557388,1,1,0
"190",1,1,4998,-0.0848629536107846,1,0,1
"191",1,1,0,0.44970766338848,1,1,0
"192",1,1,22951,0.421971010103767,1,1,0
"193",1,1,43748,1.03602693820135,1,1,1
"194",0,0,79720,0.350831884717768,0,0,1
"195",1,1,5130,0.682754604906798,1,1,0
"196",1,1,2613,-1.52409977806294,0,0,0
"197",0,0,9755,0.884177376772835,0,1,0
"198",0,0,0,-1.52409977806294,0,0,1
"199",1,1,14529,0.681153981623337,1,1,1
"200",0,0,12773,-0.899212973565691,0,0,0
"201",0,0,24807,0.927710239196427,1,1,0
"202",1,1,2115,-1.52409977806294,0,1,0
"203",0,0,0,0.648797858205049,0,1,1
"204",0,1,28249,0.914923572565032,1,1,0
"205",0,0,447,0.290341866347252,1,1,0
"206",0,0,960,-1.52409977806294,1,1,0
"207",0,1,375,-1.52409977806294,1,1,1
"208",1,1,2359,-1.52409977806294,0,1,1
"209",0,0,22530,0.776315827974546,1,1,0
"210",1,1,13280,-1.52409977806294,1,1,0
"211",0,0,690,1.11463627399613,1,1,1
"212",1,1,1215,0.726847817268774,0,0,1
"213",0,0,395,0.162993191115368,1,1,0
"214",0,1,0,-1.52409977806294,0,0,0
"215",1,1,39360,1.0249493702102,0,1,0
"216",1,1,12845,0.787392039429005,1,1,0
"217",0,1,634,1.10563251028302,1,1,0
"218",0,0,3846,-1.52409977806294,1,1,0
"219",1,1,42923,0.743424084135156,1,1,1
"220",1,1,0,0.929548394733967,1,1,0
"221",0,1,0,-1.52409977806294,1,1,0
"222",0,1,24524,0.991286342347031,1,1,0
"223",0,0,87243,-0.0848629536107846,1,1,1
"224",1,1,30747,1.0249493702102,1,1,1
"225",1,1,62364,0.787392039429005,1,1,1
"226",1,1,2614,0.0247237191026457,0,1,0
