recid	D2	Z2	earnings	prevearn	edu	n_hs2	n_hs2_abv	sex
300772	0	1	61813	31000	11	13	0	1
300776	1	1	21572	1751	13	13	0	0
300777	1	1	3732	918	11	17	0	1
300778	0	1	60	200	13	9	0	1
300779	0	0	27660	8004	12	16	0	0
300780	1	1	45400	3900	13	19	0	0
300784	0	0	26314	638	12	39	1	0
300788	0	1	3330	3920	12	13	0	0
300792	0	0	34531	3500	12	16	0	1
300793	1	1	15218	16872	14	40	1	1
300794	0	1	22662	2508	12	13	0	0
300795	0	1	7501	6803	12	39	1	1
300796	0	0	7838	0	9	13	0	0
300798	0	1	0	2000	8	346	1	1
300799	0	0	18101	10000	15	2	0	1
300802	1	1	1839	0	12	17	0	0
300803	1	1	567	0	10	17	0	0
300804	0	1	21569	5400	8	39	1	0
300806	0	1	62019	15000	12	40	1	0
300807	1	1	12597	4500	12	17	0	0
300810	1	1	39383	6500	12	1	0	0
300811	0	0	1779	1000	13	2	0	1
300812	0	0	23466	2400	14	9	0	0
300814	1	1	22411	10125	17	19	0	0
300816	1	1	24049	0	12	40	1	1
300819	0	0	8315	6300	12	19	0	1
300820	0	0	18615	192	12	0	0	1
300822	1	1	25669	2330	12	9	0	1
300823	0	0	29961	11000	12	13	0	1
300825	0	0	1971	12000	12	1	0	1
300826	1	1	981	550	8	1	0	0
300828	1	1	47142	12000	12	13	0	1
300830	1	1	63075	8850	12	17	0	1
300831	1	1	0	0	8	37	1	0
300833	0	0	0	0	13	9	0	1
300835	0	0	1074	0	10	13	0	0
300838	0	1	5376	4985	14	13	0	0
300840	1	1	10185	0	12	16	0	0
300841	1	1	60033	11500	14	13	0	1
300842	0	1	17863	4000	10	2	0	0
300843	1	1	150	0	12	17	0	0
300851	1	1	28314	1900	9	13	0	0
300855	0	0	15850	600	12	5	0	1
300857	0	1	7512	3000	13	13	0	1
300858	1	1	17976	0	12	9	0	0
300859	1	1	32178	12000	11	0	0	0
300862	1	1	23437	2500	9	13	0	0
300866	1	1	17413	1800	14	39	1	0
300867	0	0	5916	1312	12	17	0	0
300868	1	1	36010	0	8	19	0	1
300871	1	1	56520	7000	14	13	0	1
300872	1	1	5850	500	12	17	0	0
300876	0	1	39102	2600	12	13	0	0
300877	1	1	20358	997	11	13	0	1
300880	0	0	0	0	12	19	0	0
300884	1	1	63719	17000	12	13	0	1
300885	0	0	23725	0	12	40	1	0
300888	1	1	828	8050	11	17	0	0
300892	1	1	26906	3472	11	13	0	0
300894	0	0	24	0	8	9	0	0
300895	1	1	5918	0	15	39	1	1
300898	0	1	36669	11000	13	1	0	0
300901	1	1	4069	2000	10	13	0	1
300903	1	1	555	0	12	19	0	1
300905	1	1	31273	3000	11	13	0	1
300906	1	1	30439	1104	14	17	0	0
300909	1	1	13755	3300	12	16	0	0
300911	0	0	21310	3000	12	9	0	0
300913	1	1	26440	13000	11	9	0	1
300916	1	1	5865	0	14	17	0	0
300918	0	1	13825	0	8	39	1	0
300920	1	1	26013	6000	14	13	0	0
300923	0	0	702	2080	8	19	0	1
300924	1	1	7086	5887	12	346	1	0
300929	0	0	4281	1500	8	15	0	0
300936	0	0	43006	1300	12	37	1	1
300938	1	1	34587	3000	11	2	0	1
300939	1	1	0	8800	12	16	0	0
300940	0	1	10191	4200	10	9	0	1
300941	0	0	11948	8419	12	1	0	1
300942	0	0	4389	1030	12	346	1	1
300943	1	1	0	400	11	40	1	0
300944	1	1	0	0	9	5	0	0
300948	0	1	21609	900	12	13	0	0
300950	1	1	2625	100	10	13	0	0
300951	0	1	3723	550	8	13	0	1
300953	1	1	15223	3289	12	17	0	0
300956	0	1	2343	3301	12	1	0	1
300958	1	1	14466	11960	9	19	0	1
300959	1	1	663	17000	9	13	0	1
300961	1	1	49363	6602	10	16	0	1
300970	1	1	62132	4000	10	13	0	1
300974	1	1	25791	3000	12	13	0	1
300975	1	1	13484	1750	10	37	1	0
